Customer,E_Wi,SD_Wi
281,7.921292580409503,8.60370793103873
282,7.951577402299604,8.692606273404751
283,8.068029246534387,8.64625736123784
284,8.08288702194672,8.696173104889855
285,8.141968350274594,8.610423935955533
286,8.13641432936844,8.463867943015437
287,8.034958991347326,8.430989471565963
288,7.856015032737162,8.44386955288151
289,7.845916712831261,8.188712966233744
290,8.040704210328375,8.044799801410068
291,7.85626769055192,8.04927093731412
292,7.955124978612676,7.894414039935497
293,7.889302596832726,8.055558412592488
294,8.080403977505153,8.224355730372961
295,8.04565505273705,8.286778248474793
296,8.061654877332213,8.323879444504161
297,8.217798123893823,7.989704679347345
298,8.23279027870008,8.097121281838513
299,8.249418601431433,8.021906357447557
300,8.400337364621471,7.916635548656649
301,8.472167054843787,7.7077775392958365
302,8.628312402891327,8.013836733193997
303,8.650027133059222,8.048906712841116
304,8.689014357898941,7.941604882405599
305,8.8727086833202,7.900921913768269
306,8.96152584165023,7.8777658702536195
307,8.823393334051548,7.901395491252351
308,8.819519184535809,7.685747745972629
309,8.948913913119382,7.807347106131836
310,8.935199229884141,8.03028975860857
311,8.992014769429623,8.064899708292428
312,9.106604695552216,8.292025425617549
313,9.124991331195302,8.094612620644714
314,9.135222008033498,7.91045744514292
315,9.180550804932325,7.965812744543981
316,9.308920356053399,7.85801312917521
317,9.268531304437413,7.747458651620604
318,9.254560880403272,8.06333137357748
319,9.050250638940827,8.020761164853761
320,8.973454861976403,7.995346433973411
321,8.913986647023048,7.98746636584781
322,8.956715603405371,7.7810508020952645
323,8.884760470868123,7.85968728956977
324,8.830532278366105,7.653359544046349
325,8.809408659976512,7.592698685712135
326,8.833738408997823,7.691579384303844
327,8.8288084131166,7.636581313171749
328,9.126179313096106,7.562294910269618
329,8.987792182251097,7.699545938193114
330,8.778894046988576,7.716297455507614
331,8.809270466440545,7.729712151462855
332,8.826132120580578,7.9630674529745225
333,8.817365426659485,7.92629588847884
334,8.650196287484587,8.05079690369151
335,8.733430930576953,8.169980950645616
336,8.822335350274791,8.198946908208711
337,8.85658662622371,8.274885346595225
338,8.721568073384157,8.402416482679453
339,8.590668799470606,8.43819906481231
340,8.50121690274917,8.476601423929234
341,8.604970328887681,8.159429553924982
342,8.689237914386254,8.236261277625738
343,8.602131397955201,8.309891123685656
344,8.538363025315995,8.431543306637389
345,8.667050628217575,8.454997492710849
346,8.71686552522009,8.452704935065311
347,8.616405150651234,8.2681365055436
348,8.552818061264297,8.20872840910959
349,8.62150365312991,8.193524049901848
350,8.717437229319088,8.322306386174976
351,8.678110847187371,8.41777101749473
352,8.73262463736679,8.754354094503098
353,8.699937838552138,8.625522942878343
354,8.52940351038009,8.811231464459118
355,8.665426916136365,8.811230668817217
356,8.56875791196268,8.830800103729594
357,8.617313865921684,8.660700366794384
358,8.76529644293121,8.66437886711426
359,8.77975445652838,8.652914432695201
360,9.132842040580561,8.979701379343496
361,8.914230759810131,8.902604721020237
362,8.721501296067693,8.881195438319876
363,8.475089377912907,8.678401310339945
364,8.491200599317855,8.728032594821839
365,8.465375756832703,8.569619264156312
366,8.451213939114087,8.662743866727533
367,8.478141478220595,8.526410495195083
368,8.596452733915477,8.49372348317581
369,8.7037680897371,8.439079223306573
370,8.866850009227383,8.562433914336177
371,8.731376222048642,8.636971100024269
372,8.740365384730808,8.731161992139606
373,9.095502966683563,8.874153390572728
374,9.100847785919498,9.022883437971505
375,9.048750764229508,8.901036458781586
376,9.029053947549489,9.066264758623339
377,9.044107591747675,9.014176009273266
378,9.095187188856148,8.89131817719743
379,9.126316890539732,8.870383568944026
380,9.392630137661097,8.742310936723735
381,9.198225395830498,8.982506266550411
382,9.23981607235632,9.02423777281922
383,9.057895780329254,9.089242339280238
384,9.07217524825101,9.091215328386431
385,9.225012530905706,9.11310522388454
386,9.275932864034388,9.164951743301776
387,9.339878580723632,9.118016616994765
388,9.387360389736976,9.109104229865022
389,9.33154222551015,9.11251585637639
390,9.31076293011671,9.160363226941167
391,9.372715164102758,9.116691836782248
392,9.324659935396255,8.886805866206997
393,9.128452286008692,8.828649671702177
394,9.056084919383489,8.884083055647151
395,8.910251579689845,8.949280905079032
396,8.831676184907575,8.81697701616103
397,8.841649980917127,8.841140449638381
398,8.87395895063242,8.75320782553392
399,8.74530242125371,8.736854375433106
400,8.588442305449199,8.770644849218854
401,8.345716894670131,8.687171163428024
402,8.371960541823263,8.884501895809272
403,8.463481493792457,9.039366472940229
404,8.872902997112213,9.095348085946668
405,8.688381081077651,9.250108754252024
406,8.885011874708644,9.170961345569511
407,9.005077518618158,9.271155775113893
408,9.121646185146803,9.279327251784077
409,9.029920981148987,9.058782998320615
410,8.922398859042072,9.067516110141232
411,8.872389902412543,8.98980128205754
412,8.81702282769648,8.794834783601653
413,8.718271020279296,8.71146495216124
414,8.603653460790618,8.726171999475602
415,8.73077724397321,8.799835183744058
416,8.81832141693471,8.973245763943128
417,8.870389858534917,8.98947663409529
418,8.94116990417779,9.104560215783968
419,8.9579941353668,9.029178722966593
420,9.003859538659288,8.854055334679128
421,9.223519032130024,8.851117791631554
422,9.15391620994059,9.032799828666528
423,9.454255354067918,8.845842282516362
424,9.3623838088701,8.662527809343356
425,9.311771380437285,8.71893116715397
426,9.152654281537624,8.885059293651734
427,9.099888984626597,8.866538994298182
428,9.149372180528621,8.971708417996478
429,9.263391379747619,9.04419402833482
430,9.069000765963219,8.899500463061216
431,9.072548529605122,8.959331167399005
432,9.023382027699762,8.869334811521629
433,9.29124429936583,8.83146861365579
434,9.249557622928242,8.732815627380942
435,9.341978193394773,8.775655479645119
436,9.303137924870935,8.894623983848817
437,9.268280546112544,8.800565710991338
438,9.260686906516423,8.716925108761084
439,9.150963505805112,8.691296547995206
440,9.277888512255451,8.706590649671181
441,9.187133214148508,8.904031965782298
442,9.35112497987299,8.784833044458265
443,9.391936754693688,8.815556637681674
444,9.299723828787704,8.890205837751385
445,9.334974708564117,9.105916092352663
446,9.397380204058356,9.124712603786758
447,9.47978161589479,9.019472435639782
448,9.521752198806789,9.020047371051866
