,AllWaitMean,AllQueueMean,AllQueueNum,AllServerMean
33,1.902454217134397,1.8845932695184315,6,0.6570225061789978
34,2.028065443935871,2.0360511314955567,0,0.670875220505155
35,2.0835805218403203,2.089876544528454,1,0.6735861043408491
36,1.9551488848161407,1.9511212781134393,0,0.6652775049959234
37,2.001504977076568,1.9750843791347055,5,0.6581910472854182
38,1.9577658519593215,1.9590508902194654,3,0.6677573611459888
39,1.97551246272413,1.981280959115274,0,0.6646637177396423
40,1.9560149809188274,1.9449830564264523,0,0.6634640166782486
41,2.0960881139973435,2.116786575536365,4,0.6745473778612091
42,1.9630426816013093,1.959109492790441,3,0.6639192683940215
43,2.0489917113571474,2.050534379322135,2,0.66911501060392
44,2.0383941819350313,2.0427911491454362,0,0.6678953368187422
45,1.9422039253769792,1.928845925894105,1,0.6623359254262784
46,2.018696305310763,2.0211400208721995,4,0.6643179198073254
47,2.042499304796571,2.0361297042287303,0,0.6726503071497171
48,1.9939102886059719,1.9984941402389964,0,0.6705236235450308
49,1.9077440320225953,1.8936857637275826,2,0.6592483775396902
50,2.032637632874936,2.0276874053465055,3,0.6635430218768964
51,2.022825078382915,2.028453736273808,0,0.6711401442698893
52,2.011035426381465,2.0139987168345295,5,0.6706234307750518
53,1.905187351012831,1.9023684620512458,1,0.6660278683128269
54,2.0085904397368863,2.002845871079239,0,0.668960916938323
55,1.9841821874127907,1.983278943442841,4,0.6608191398657958
56,1.9511621834168391,1.9454656560052697,0,0.6635764469927677
57,1.9478047976532338,1.9518446445066244,0,0.6628908199515671
58,1.9694465004583561,1.971615126985972,5,0.6662403935411574
59,2.0198771666873543,2.0302593353241263,0,0.672115967831666
60,2.0300100702555013,2.0296040682414356,0,0.6707941431269255
61,2.100671618366899,2.0980221565976063,0,0.6728071582320263
62,2.062647982959652,2.0509606168163628,1,0.6678700798617017
63,1.982762193194257,1.9676535452821153,0,0.6620754517303151
64,1.9956365650737204,1.990811045045447,1,0.6660008682677683
65,2.0247959529676,2.0156586714442777,2,0.6655769446121467
66,1.9919797003352249,1.9942318394808372,1,0.6640405587976603
67,1.9834156823767932,1.9733130303980513,5,0.6595263081235797
68,1.9804252017000208,1.9866284848892946,1,0.6667602871646398
69,2.0653869827438793,2.078045410661807,8,0.671440146330564
70,1.9922847926590155,1.9997477665821823,5,0.666257224964557
71,1.9873493026407851,1.9899590797626718,6,0.665611321381872
72,1.9763327557248171,1.9774354101840665,0,0.6685664680104987
73,2.0247496307679125,2.0288715679539244,2,0.6674044609695812
74,1.9877028929729934,1.986074835634476,1,0.6647285743148609
75,1.9140784529862291,1.9143907963149462,2,0.6606600641884021
76,2.036485949765622,2.0454057582255927,0,0.6711990897098823
77,2.05988870408017,2.0785200506068042,5,0.6739274061715732
78,1.96477315455144,1.9659168926294563,2,0.6728565724955564
79,1.9513865962933705,1.954081946553574,0,0.6648432867900825
80,2.0764743473366876,2.0733337086739496,2,0.672639841661536
81,1.9211327118922676,1.9120198874484426,0,0.6615278624176093
82,2.026732235208876,2.0209057262049663,1,0.6649880199174983
83,2.003732753977619,2.0136122685339926,1,0.6716569375195018
84,2.000615147691474,1.9945387911871253,2,0.6658749478207614
85,2.080370625327479,2.085335710924754,4,0.6755209182320154
86,2.0107621282485764,1.9999507502667941,0,0.6657923177420825
87,1.9960701594879968,1.9793430915515196,0,0.665524227967158
88,1.9528078721731323,1.9491653747308655,1,0.6620933227496761
89,2.0009701582138977,1.998048741782919,0,0.6659053514378734
90,2.103310763674775,2.104547318127229,1,0.673120165988839
91,1.9630216403865481,1.96548112449286,6,0.6607471779692403
92,1.9417479933306723,1.9261859770998684,2,0.6579058519347936
93,2.0822656787980325,2.1079640740647574,3,0.6749550185368619
94,2.031177608666289,2.042354294122521,0,0.6732291067719105
95,2.003967225567668,2.004370148744634,6,0.6694021646663458
96,1.956136358069702,1.9423445741725254,1,0.664691813106737
97,2.0001083871258674,2.006101099359558,2,0.6662353046682442
98,1.960463212873099,1.956069864963763,0,0.6648542700636919
99,1.993120217018826,2.007649258286429,5,0.6743792073119275
