Customer,E_Wi,SD_Wi
88,2.1342840303852064,2.0340414242538416
89,2.0312735557253006,1.9884245380968502
90,2.101256521325524,2.0304670522818107
91,2.095707612243857,2.0148180170376273
92,2.0050249051484896,1.9685278193280733
93,2.0831412236233637,1.9398855520611984
94,2.0359879492813304,2.020568539988616
95,2.114167106091026,2.204035867970862
96,2.117317070343657,2.347802166127047
97,2.169181269239318,2.3466108672528807
98,2.0330337367876017,2.2136925030540744
99,1.9815353680470804,2.2793130968683744
100,2.094952673080696,2.2583400894683443
101,2.1202202956717255,2.259088854327506
102,2.1240239368119918,2.3775527193409096
103,2.2199888962541525,2.3708370111590966
104,2.0301845789745827,2.2663609427235776
105,2.249551888530375,2.3415383434686663
106,2.414410988893717,2.395996261184957
107,2.2030977053133536,2.3206465697969914
108,2.2883318000559996,2.24851722557743
109,2.294413258404377,2.334439100323274
110,2.3845720503511227,2.429933845354541
111,2.3615638068857634,2.5210494292159598
112,2.1645354604608,2.389280439062536
113,2.094177830787271,2.211083178042221
114,2.2008904541234937,2.2982886248079875
115,1.964538519550007,2.3292952256580355
116,1.9040216554628635,2.434580878238247
117,1.9753315878138296,2.2886346795984442
118,2.0008658089946256,2.1791321085943434
119,2.0142530064346387,2.2963675001023103
120,2.0324110642466504,2.3102427584793754
121,1.9576327091036092,2.2849126975643737
122,2.1041599014007644,2.4303608007802837
123,2.0770794188141726,2.3625802699587273
124,2.028826297837625,2.2390200506125186
125,1.9705905361301363,2.235412976996632
126,2.045846699666324,2.3276205194464263
127,2.2386865667595894,2.2877484609218683
128,2.009034631241911,2.1148522887819237
129,1.940303463531128,2.0843651245907497
130,1.9853191358370725,1.9479116299725403
131,1.8123922625497726,1.6748651766727334
132,1.7201733301014093,1.6281513068062754
133,1.7336480205312992,1.6270249788599709
134,1.7288951097425906,1.7188723550308662
135,1.807856334359673,1.6573518267961622
136,1.8148966322650097,1.6895848975254795
137,1.94836294438894,1.8300796258819316
138,2.0473572789341836,1.793368923078989
139,2.1388404931691727,2.042504928405156
140,2.173524787901725,1.9323532130206027
141,2.162603809373681,2.0960979273162996
142,2.3543858884834066,2.138366036262663
143,2.3194840165942696,2.130237937525355
144,2.394522439939994,2.114966060007839
145,2.213877627556008,2.108062847127509
146,2.113278279878371,1.8638897652008963
147,2.079876078018766,1.97687017655463
148,2.1103238235924113,1.9865332295773517
149,2.0750950278434046,2.049019253988579
150,2.1585619030450567,2.1669993760363813
151,2.0832407729943996,2.159996842215099
152,2.0844859025832214,2.1632824146778655
153,2.0160605492557413,2.325897155562341
154,2.059120049433094,2.339816097135581
155,2.0191961942497927,2.3591068553618086
156,1.9323372594315957,2.2980678629756195
157,1.9730887507707777,2.351718203506092
158,2.071219783229576,2.3729213377817686
159,2.0833168786175222,2.2709873919496912
160,2.1270069136541925,2.203238614445264
161,2.006365969358951,2.229192147767761
162,2.1109343819052255,2.173713777343439
163,2.067485247064985,2.0585027087754355
164,1.9974331326613302,2.0730860677671226
165,2.064505053769129,2.0649862031597874
166,1.9847880335884074,2.041557585627404
167,1.9808911128084816,2.063487093711974
168,2.0678588860255056,1.9916627225858534
169,2.083963716727298,1.9757852003382352
170,2.251166864001094,2.1540138357424703
171,2.124429441300451,2.27117119102523
172,2.074234992383336,2.2089117824361626
173,2.146569886612591,2.0673637144477777
174,2.0738098376215137,2.1122540862919763
175,2.171999624514364,2.139055803617281
176,2.1910486185345146,2.0934663881263944
177,2.183906647459454,2.24985626592216
178,2.0444927065507645,2.062294722530979
179,2.004356269212135,2.007844170926212
180,2.049691810927541,1.987757918446759
181,2.0739788440376965,1.8161963434412467
182,2.05952941761669,1.9578072980577341
183,2.0073143668052613,1.944101778348472
184,2.0019239002459095,1.9650034411864719
185,1.9739237770971951,1.831673879073076
186,1.9046005853197459,1.92782818682586
187,2.033254252466789,1.9988720414830277
188,2.013288927619776,1.9876118904626097
189,2.122834839770712,1.9749841196491815
190,2.1676267540425873,2.018104422043532
191,2.2263164174817858,2.029624426115571
192,2.2371754204550203,2.0915654628355678
193,2.1383966732026103,2.115212435617483
194,2.2613877610816946,2.182147756563273
195,2.1340006588878557,2.030381430089182
196,2.159613123843149,1.9543088578506098
197,2.0899243541175396,1.9701652231825095
198,2.0783317094919656,2.0567303437410254
199,1.9310931094312769,2.0239044900406022
200,1.89937221035107,1.9494874159252837
201,1.9608246356327956,1.9962216035444333
202,1.8303179260041744,1.706216099924819
203,1.8745641165421045,1.7729597362924607
204,1.7962286263843785,1.793114062184468
205,1.8203643986618012,1.789044359665869
206,1.7201060370557548,1.852060852897381
207,1.9083976057714593,1.8208072850549841
208,1.8906853813199396,1.7621939986629336
209,1.95503570064456,1.7730668835710148
210,1.9494464302298935,1.7779145084873402
211,1.913874659406537,1.9896553625463256
212,1.964083219728315,2.026778100723499
213,2.0983966784760084,2.086808820949519
214,2.079691638174144,1.9948792290495152
215,1.9669399912724799,2.0887808793455913
216,1.9571319823870885,1.8365439763216405
217,1.9979229339103108,1.8838545845286732
218,1.993762652221881,1.8112024497795582
219,2.0965606528569496,1.9765630721978444
220,2.0755705670277393,2.0270038612352717
221,1.9289325532159844,2.046106097119105
222,2.0081152564884546,2.0185557868614232
223,1.8687977580227104,1.9878315548682186
224,1.7656292291619553,1.9897651410077166
225,1.9170735646171417,2.002394684226397
226,1.9427956745919903,2.089827235270861
227,2.0477368059877796,1.9397054403066747
228,2.0281329802660477,1.7897624548388658
229,1.9349463516095506,1.819865140401133
230,2.161856404707828,2.1242808246064993
231,2.1820744710115565,2.0435408965999993
232,2.0799161522405014,2.1041917012486406
233,1.864657492364299,2.198455417147499
234,1.8309630777048556,2.203057451030803
235,1.869107710189164,2.068759593417253
236,1.7829392674184614,1.9649407443784097
237,2.002673602585068,2.00190646985897
238,1.9423082890010823,1.9577965147244236
239,1.8332667996406207,1.8749704633011743
240,1.9653146712257616,1.8625990685674827
241,2.0937566698234757,1.8368986995260093
242,2.066021529841406,2.054704610037468
243,2.1445583200805576,2.076282532547031
244,1.9996226803010224,2.0310517269558375
245,2.0239093052404065,1.9910219513009095
246,2.038893905652797,2.0507182856136814
247,2.0488150766968887,2.1680854961390494
248,2.1098425148569135,2.071601679620296
249,2.109137332607875,2.108875749356415
250,1.9685208868306052,2.0714178876047806
251,2.198462161024943,2.07049003743176
252,2.159301283295334,1.9376025258472651
253,2.051424773835807,1.8997174982958398
254,2.190865010745921,1.8854706956602707
255,2.2964830597001376,2.0573311324028816
256,2.2170932788578694,2.1862940352424696
257,2.130269934680617,1.9806756950348536
258,2.1109797133812473,2.067037858801164
259,2.1717032479828333,2.2294494209002926
260,2.173153300408131,2.23412907131659
261,2.081487606658868,2.2538293034470884
262,2.062063260342367,2.285729739383406
